# go: go1.27.1-X:nodwarf5
# kernel: 7.2.2-1-cachyos
# commit: 955c34d
goos: linux
goarch: amd64
pkg: github.com/33TU/ews/bench/utf8
cpu: AMD Ryzen 9 9950X3D 16-Core Processor
BenchmarkUTF8/kind=ascii/size=1024/conns=1/coder-8         	  437060	      5495 ns/op	 186.36 MB/s	    2970 B/op	      24 allocs/op
BenchmarkUTF8/kind=ascii/size=1024/conns=1/gws-8           	  657362	      3647 ns/op	 280.74 MB/s	      16 B/op	       1 allocs/op
BenchmarkUTF8/kind=ascii/size=1024/conns=1/ews-8           	  667668	      3556 ns/op	 287.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkUTF8/kind=ascii/size=1024/conns=128/ews-8         	 4244000	       568.3 ns/op	1801.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkUTF8/kind=ascii/size=1024/conns=128/coder-8       	 2288414	      1044 ns/op	 980.99 MB/s	    2971 B/op	      24 allocs/op
BenchmarkUTF8/kind=ascii/size=1024/conns=128/gws-8         	 4123076	       578.7 ns/op	1769.51 MB/s	      16 B/op	       1 allocs/op
BenchmarkUTF8/kind=ascii/size=16384/conns=1/ews-8          	  417102	      5703 ns/op	2872.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkUTF8/kind=ascii/size=16384/conns=1/coder-8        	  163304	     14662 ns/op	1117.47 MB/s	   41329 B/op	      61 allocs/op
BenchmarkUTF8/kind=ascii/size=16384/conns=1/gws-8          	  397592	      5975 ns/op	2742.30 MB/s	      17 B/op	       1 allocs/op
BenchmarkUTF8/kind=ascii/size=16384/conns=128/ews-8        	 2759691	       862.5 ns/op	18995.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkUTF8/kind=ascii/size=16384/conns=128/coder-8      	  697837	      3524 ns/op	4648.94 MB/s	   40123 B/op	      61 allocs/op
BenchmarkUTF8/kind=ascii/size=16384/conns=128/gws-8        	 2670145	       896.1 ns/op	18283.80 MB/s	      21 B/op	       1 allocs/op
BenchmarkUTF8/kind=mixed/size=1024/conns=1/ews-8           	  622748	      3671 ns/op	 278.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkUTF8/kind=mixed/size=1024/conns=1/gws-8           	  576727	      4102 ns/op	 248.92 MB/s	      16 B/op	       1 allocs/op
BenchmarkUTF8/kind=mixed/size=1024/conns=1/coder-8         	  438628	      5597 ns/op	 182.41 MB/s	    2976 B/op	      24 allocs/op
BenchmarkUTF8/kind=mixed/size=1024/conns=128/coder-8       	 2310618	      1036 ns/op	 985.32 MB/s	    2973 B/op	      24 allocs/op
BenchmarkUTF8/kind=mixed/size=1024/conns=128/gws-8         	 3763684	       631.6 ns/op	1616.66 MB/s	      16 B/op	       1 allocs/op
BenchmarkUTF8/kind=mixed/size=1024/conns=128/ews-8         	 4085799	       575.2 ns/op	1775.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkUTF8/kind=mixed/size=16384/conns=1/coder-8        	  161204	     14854 ns/op	1103.04 MB/s	   41459 B/op	      61 allocs/op
BenchmarkUTF8/kind=mixed/size=16384/conns=1/gws-8          	  174200	     13745 ns/op	1191.97 MB/s	      17 B/op	       1 allocs/op
BenchmarkUTF8/kind=mixed/size=16384/conns=1/ews-8          	  325660	      7381 ns/op	2219.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkUTF8/kind=mixed/size=16384/conns=128/ews-8        	 2212758	      1081 ns/op	15162.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkUTF8/kind=mixed/size=16384/conns=128/coder-8      	  708176	      3503 ns/op	4677.55 MB/s	   40123 B/op	      61 allocs/op
BenchmarkUTF8/kind=mixed/size=16384/conns=128/gws-8        	 1283080	      1875 ns/op	8738.74 MB/s	      22 B/op	       1 allocs/op
BenchmarkUTF8/kind=multibyte/size=1024/conns=1/gws-8       	  535960	      4380 ns/op	 233.57 MB/s	      16 B/op	       1 allocs/op
BenchmarkUTF8/kind=multibyte/size=1024/conns=1/ews-8       	  630061	      3751 ns/op	 272.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkUTF8/kind=multibyte/size=1024/conns=1/coder-8     	  430340	      5578 ns/op	 183.41 MB/s	    2975 B/op	      24 allocs/op
BenchmarkUTF8/kind=multibyte/size=1024/conns=128/coder-8   	 2304619	      1033 ns/op	 990.46 MB/s	    2970 B/op	      24 allocs/op
BenchmarkUTF8/kind=multibyte/size=1024/conns=128/ews-8     	 4051810	       593.4 ns/op	1723.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkUTF8/kind=multibyte/size=1024/conns=128/gws-8     	 3607386	       660.6 ns/op	1548.70 MB/s	      16 B/op	       1 allocs/op
BenchmarkUTF8/kind=multibyte/size=16384/conns=1/ews-8      	  276472	      8570 ns/op	1911.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkUTF8/kind=multibyte/size=16384/conns=1/coder-8    	  161080	     14945 ns/op	1096.23 MB/s	   41469 B/op	      61 allocs/op
BenchmarkUTF8/kind=multibyte/size=16384/conns=1/gws-8      	  138740	     17288 ns/op	 947.65 MB/s	      16 B/op	       1 allocs/op
BenchmarkUTF8/kind=multibyte/size=16384/conns=128/coder-8  	  693396	      3509 ns/op	4668.62 MB/s	   40122 B/op	      61 allocs/op
BenchmarkUTF8/kind=multibyte/size=16384/conns=128/ews-8    	 1941150	      1238 ns/op	13233.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkUTF8/kind=multibyte/size=16384/conns=128/gws-8    	 1000000	      2371 ns/op	6910.95 MB/s	      23 B/op	       1 allocs/op
PASS
ok  	github.com/33TU/ews/bench/utf8	101.529s
